problem,LCQP,IPOPT,MIQP,SNOPT,MINOS
bard1,9.77e-15,-9.2046e-15,0,72,72
bard1m,2.221e-15,1.8457e-14,0,72,72
bard2,0,-6.6604e-14,0,0,1.4211e-14
bilevel2,2.221e-15,1.6597e-14,3.8065e-15,17.7778,17.7778
bilevel2m,1.7764e-15,-2.132e-15,3.8065e-15,17.7778,17.7778
ex9_2_1,2.221e-15,-3.0516e-15,0,72,72
ex9_2_2,7.228e-14,-,1.7053e-11,300,300
ex9_2_4,4.442e-16,-4.5947e-16,0,4,4
ex9_2_5,0,-2.6424e-15,0,30,30
ex9_2_6,2.221e-16,-1.0131e-15,0,1,1
ex9_2_7,1.2215e-15,-3.0516e-15,0,72,72
flp2,0,1.2121e-14,5.3291e-15,0,0
flp4_1,0,-7.9182e-15,0,0,-
flp4_2,0,-2.5552e-14,0,0,-
flp4_3,0,-3.4827e-14,0,0,-
flp4_4,0,-4.9639e-14,0,0,-
gauvin,0,4.2598e-15,0,400,400
hs044_i,7.1942e-16,3.9293e-14,-,0.67572,0.67572
jr1,0,-8.3267e-17,0,0,0
jr2,-5.5511e-17,-5.5511e-17,0,1,1
kth2,2.221e-16,-1.7205e-16,0,0,0
kth3,-2.221e-16,-4.3474e-17,0,1,1
liswet1_050,2.3623e-14,7.8317e-14,2.6781e-14,7.2174e-13,7.9505e-14
liswet1_100,2.6029e-14,6.3565e-13,-8.5874e-15,-,-
liswet1_200,9.4516e-14,4.1908e-12,-8.9487e-14,-,-
nash1a,2.221e-16,9.9547e-15,0,36.665,36.665
nash1b,2.221e-16,9.9547e-15,0,36.665,36.665
nash1c,2.221e-16,9.9547e-15,0,36.665,36.665
nash1d,2.221e-16,9.9547e-15,0,36.665,36.665
nash1e,2.221e-16,9.9547e-15,0,36.665,36.665
portfl1,4.1293e-17,4.1526e-16,0.00064391,0.0055447,0.0055447
portfl2,9.5012e-17,-3.4552e-17,0.00054284,0.0097071,0.0097071
portfl3,8.607e-17,-1.1233e-16,0,0.0080366,0.0080366
portfl4,3.736e-17,-9.3178e-18,0.00041855,0.010237,0.010237
portfl6,4.1675e-17,3.0064e-17,0.00068446,0.0057994,0.0057995
qpec1,2.221e-16,-2.0955e-15,0,0,0
qpec2,6.6613e-16,-3.3307e-15,0,2,2
scholtes3,2.221e-16,-2.1948e-16,0,1,1
sl1,3.5705e-17,1.1914e-14,0,1.7852e-17,0
